method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
median7+morphological+slic,1,8,7,400.0,0.1,0.23549526437957327
morphological+slic,2,2,0,400.0,0.1,0.23549526437957327
median3+morphological+slic,2,2,3,400.0,0.1,0.23549526437957327
median7+morphological+slic,1,6,7,400.0,0.1,0.23549526437957327
median5+morphological+slic,2,2,5,400.0,0.1,0.23549526437957327
median5+morphological+slic,2,2,5,400.0,0.05,0.2318554202583615
median7+morphological+slic,2,2,7,400.0,0.05,0.2318554202583615
median3+morphological+slic,2,2,3,400.0,0.05,0.2318554202583615
median7+morphological+slic,1,2,7,400.0,0.05,0.2318554202583615
median7+morphological+slic,1,4,7,400.0,0.05,0.2318554202583615
morphological+slic,2,2,0,400.0,0.05,0.2318554202583615
median7+morphological+slic,1,8,7,400.0,0.05,0.2318554202583615
median7+morphological+slic,1,6,7,400.0,0.05,0.2318554202583615
median5+morphological+slic,2,8,5,400.0,0.05,0.2318554202583615
median3+morphological+slic,2,8,3,400.0,0.05,0.2318554202583615
morphological+slic,2,4,0,400.0,0.05,0.2318554202583615
median5+morphological+slic,2,4,5,400.0,0.05,0.2318554202583615
morphological+slic,2,6,0,400.0,0.05,0.2318554202583615
median5+morphological+slic,2,6,5,400.0,0.05,0.2318554202583615
median3+morphological+slic,2,6,3,400.0,0.05,0.2318554202583615
median7+morphological+slic,2,6,7,400.0,0.05,0.2318554202583615
median7+morphological+slic,2,8,7,400.0,0.05,0.2318554202583615
median7+morphological+slic,2,4,7,400.0,0.05,0.2318554202583615
median3+morphological+slic,2,4,3,400.0,0.05,0.2318554202583615
morphological+slic,2,8,0,400.0,0.05,0.2318554202583615
morphological+slic,3,4,0,400.0,0.1,0.20724627163646991
median7+morphological+slic,3,4,7,400.0,0.1,0.20724627163646991
median3+morphological+slic,3,2,3,400.0,0.1,0.20724627163646991
median3+morphological+slic,3,8,3,400.0,0.1,0.20724627163646991
median7+morphological+slic,3,2,7,400.0,0.1,0.20724627163646991
morphological+slic,3,2,0,400.0,0.1,0.20724627163646991
median5+morphological+slic,3,2,5,400.0,0.1,0.20724627163646991
median3+morphological+slic,3,4,3,400.0,0.1,0.20724627163646991
median5+morphological+slic,3,6,5,400.0,0.1,0.20724627163646991
morphological+slic,3,6,0,400.0,0.1,0.20724627163646991
median5+morphological+slic,3,8,5,400.0,0.1,0.20724627163646991
median3+morphological+slic,3,6,3,400.0,0.1,0.20724627163646991
median7+morphological+slic,3,6,7,400.0,0.1,0.20724627163646991
morphological+slic,3,8,0,400.0,0.1,0.20724627163646991
median5+morphological+slic,3,4,5,400.0,0.1,0.20724627163646991
median7+morphological+slic,3,8,7,400.0,0.1,0.20724627163646991
median3+morphological+slic,3,8,3,400.0,0.05,0.20360642751525815
median5+morphological+slic,3,8,5,400.0,0.05,0.20360642751525815
median7+morphological+slic,3,6,7,400.0,0.05,0.20360642751525815
median3+morphological+slic,3,6,3,400.0,0.05,0.20360642751525815
median3+morphological+slic,3,4,3,400.0,0.05,0.20360642751525815
median5+morphological+slic,3,6,5,400.0,0.05,0.20360642751525815
morphological+slic,3,8,0,400.0,0.05,0.20360642751525815
median7+morphological+slic,3,2,7,400.0,0.05,0.20360642751525815
morphological+slic,3,4,0,400.0,0.05,0.20360642751525815
median3+morphological+slic,3,2,3,400.0,0.05,0.20360642751525815
morphological+slic,3,2,0,400.0,0.05,0.20360642751525815
median5+morphological+slic,3,2,5,400.0,0.05,0.20360642751525815
morphological+slic,3,6,0,400.0,0.05,0.20360642751525815
median5+morphological+slic,3,4,5,400.0,0.05,0.20360642751525815
median7+morphological+slic,3,8,7,400.0,0.05,0.20360642751525815
median7+morphological+slic,3,4,7,400.0,0.05,0.20360642751525815
morphological+slic,1,8,0,300.0,0.1,0.17794754629202678
median7+morphological+slic,1,8,7,300.0,0.1,0.17794754629202678
morphological+slic,2,2,0,300.0,0.1,0.17794754629202678
median7+morphological+slic,1,6,7,300.0,0.1,0.17794754629202678
median3+morphological+slic,1,2,3,300.0,0.1,0.17794754629202678
morphological+slic,1,2,0,300.0,0.1,0.17794754629202678
morphological+slic,1,6,0,300.0,0.1,0.17794754629202678
median7+morphological+slic,1,2,7,300.0,0.1,0.17794754629202678
median7+morphological+slic,1,4,7,300.0,0.1,0.17794754629202678
median3+morphological+slic,1,4,3,300.0,0.1,0.17794754629202678
morphological+slic,1,4,0,300.0,0.1,0.17794754629202678
median5+morphological+slic,1,6,5,300.0,0.1,0.17794754629202678
median3+morphological+slic,2,2,3,300.0,0.1,0.17794754629202678
median3+morphological+slic,1,8,3,300.0,0.1,0.17794754629202678
median3+morphological+slic,2,4,3,300.0,0.1,0.17794754629202678
morphological+slic,2,4,0,300.0,0.1,0.17794754629202678
morphological+slic,2,6,0,300.0,0.1,0.17794754629202678
median3+morphological+slic,2,6,3,300.0,0.1,0.17794754629202678
median5+morphological+slic,1,8,5,300.0,0.1,0.17794754629202678
median3+morphological+slic,1,6,3,300.0,0.1,0.17794754629202678
median5+morphological+slic,1,2,5,300.0,0.1,0.17794754629202678
median5+morphological+slic,1,4,5,300.0,0.1,0.17794754629202678
median3+morphological+slic,2,8,3,300.0,0.1,0.17794754629202678
morphological+slic,2,8,0,300.0,0.1,0.17794754629202678
median7+morphological+slic,2,2,7,300.0,0.1,0.14177769063576628
median5+morphological+slic,2,2,5,300.0,0.1,0.14177769063576628
median5+morphological+slic,2,4,5,300.0,0.1,0.14177769063576628
median5+morphological+slic,2,6,5,300.0,0.1,0.14177769063576628
median7+morphological+slic,2,4,7,300.0,0.1,0.14177769063576628
median5+morphological+slic,2,8,5,300.0,0.1,0.14177769063576628
median7+morphological+slic,2,8,7,300.0,0.1,0.14177769063576628
median7+morphological+slic,2,6,7,300.0,0.1,0.14177769063576628
median5+morphological+slic,4,4,5,400.0,0.1,0.12541097404839585
median3+morphological+slic,4,6,3,400.0,0.1,0.12541097404839585
median7+morphological+slic,4,6,7,400.0,0.1,0.12541097404839585
median5+morphological+slic,4,6,5,400.0,0.1,0.12541097404839585
median3+morphological+slic,4,8,3,400.0,0.1,0.12541097404839585
median5+morphological+slic,4,8,5,400.0,0.1,0.12541097404839585
median7+morphological+slic,4,8,7,400.0,0.1,0.12541097404839585
median7+morphological+slic,4,4,7,400.0,0.1,0.12541097404839585
median3+morphological+slic,4,4,3,400.0,0.1,0.12541097404839585
median5+morphological+slic,4,2,5,400.0,0.1,0.12541097404839585
median7+morphological+slic,4,2,7,400.0,0.1,0.12541097404839585
median3+morphological+slic,4,2,3,400.0,0.1,0.12541097404839585
median5+morphological+slic,4,2,5,400.0,0.05,0.12312641048582916
median7+morphological+slic,4,2,7,400.0,0.05,0.12312641048582916
median3+morphological+slic,4,4,3,400.0,0.05,0.12312641048582916
median5+morphological+slic,4,4,5,400.0,0.05,0.12312641048582916
median5+morphological+slic,4,6,5,400.0,0.05,0.12312641048582916
median7+morphological+slic,4,6,7,400.0,0.05,0.12312641048582916
median7+morphological+slic,4,4,7,400.0,0.05,0.12312641048582916
median3+morphological+slic,4,6,3,400.0,0.05,0.12312641048582916
median7+morphological+slic,4,8,7,400.0,0.05,0.12312641048582916
median5+morphological+slic,4,8,5,400.0,0.05,0.12312641048582916
median3+morphological+slic,4,2,3,400.0,0.05,0.12312641048582916
median3+morphological+slic,4,8,3,400.0,0.05,0.12312641048582916
morphological+slic,4,8,0,400.0,0.1,0.1177228905777753
morphological+slic,4,6,0,400.0,0.1,0.1177228905777753
morphological+slic,4,4,0,400.0,0.1,0.1177228905777753
morphological+slic,4,2,0,400.0,0.1,0.1177228905777753
morphological+slic,4,2,0,400.0,0.05,0.11543832701520862
morphological+slic,4,4,0,400.0,0.05,0.11543832701520862
morphological+slic,4,6,0,400.0,0.05,0.11543832701520862
morphological+slic,4,8,0,400.0,0.05,0.11543832701520862
median5+morphological+slic,3,6,5,300.0,0.1,0.10707323613205966
median3+morphological+slic,3,6,3,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,4,7,300.0,0.1,0.10707323613205966
median3+morphological+slic,3,4,3,300.0,0.1,0.10707323613205966
median3+morphological+slic,3,2,3,300.0,0.1,0.10707323613205966
morphological+slic,3,4,0,300.0,0.1,0.10707323613205966
morphological+slic,3,8,0,300.0,0.1,0.10707323613205966
median5+morphological+slic,3,8,5,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,8,7,300.0,0.1,0.10707323613205966
morphological+slic,3,6,0,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,6,7,300.0,0.1,0.10707323613205966
median3+morphological+slic,3,8,3,300.0,0.1,0.10707323613205966
median5+morphological+slic,3,2,5,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,2,7,300.0,0.1,0.10707323613205966
median5+morphological+slic,3,4,5,300.0,0.1,0.10707323613205966
morphological+slic,3,2,0,300.0,0.1,0.10707323613205966
median3+morphological+slic,1,8,3,300.0,0.05,0.10007595562609617
median3+morphological+slic,1,6,3,300.0,0.05,0.10007595562609617
morphological+slic,1,6,0,300.0,0.05,0.10007595562609617
median5+morphological+slic,1,6,5,300.0,0.05,0.10007595562609617
morphological+slic,1,4,0,300.0,0.05,0.10007595562609617
median5+morphological+slic,1,2,5,300.0,0.05,0.10007595562609617
morphological+slic,1,8,0,300.0,0.05,0.10007595562609617
median5+morphological+slic,1,8,5,300.0,0.05,0.10007595562609617
median5+morphological+slic,1,4,5,300.0,0.05,0.10007595562609617
median3+morphological+slic,1,4,3,300.0,0.05,0.10007595562609617
median3+morphological+slic,1,2,3,300.0,0.05,0.10007595562609617
morphological+slic,1,2,0,300.0,0.05,0.10007595562609617
median7+morphological+slic,4,8,7,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,8,5,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,2,7,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,2,5,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,6,7,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,8,3,300.0,0.1,0.05503703703703703
morphological+slic,4,4,0,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,4,3,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,4,7,300.0,0.1,0.05503703703703703
morphological+slic,4,8,0,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,6,3,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,6,5,300.0,0.1,0.05503703703703703
morphological+slic,4,2,0,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,2,3,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,4,5,300.0,0.1,0.05503703703703703
morphological+slic,4,6,0,300.0,0.1,0.05503703703703703
morphological+slic,1,4,0,200.0,0.1,0.042479657732955374
morphological+slic,1,6,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,8,3,200.0,0.1,0.042479657732955374
morphological+slic,1,8,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,4,3,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,6,3,200.0,0.1,0.042479657732955374
morphological+slic,1,2,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,2,3,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,2,3,200.0,0.05,0.04059328069439467
morphological+slic,1,2,0,200.0,0.05,0.04059328069439467
morphological+slic,1,8,0,200.0,0.05,0.04059328069439467
morphological+slic,1,6,0,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,8,3,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,6,3,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,4,3,200.0,0.05,0.04059328069439467
morphological+slic,1,4,0,200.0,0.05,0.04059328069439467
median5+morphological+slic,2,6,5,300.0,0.05,0.037849108591756934
median7+morphological+slic,2,6,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,2,8,7,300.0,0.05,0.037849108591756934
median5+morphological+slic,2,8,5,300.0,0.05,0.037849108591756934
median5+morphological+slic,2,4,5,300.0,0.05,0.037849108591756934
median5+morphological+slic,2,2,5,300.0,0.05,0.037849108591756934
median7+morphological+slic,2,2,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,2,4,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,2,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,6,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,4,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,8,7,300.0,0.05,0.037849108591756934
median3+morphological+slic,2,6,3,200.0,0.1,0.03666622422969091
median5+morphological+slic,1,8,5,200.0,0.1,0.03666622422969091
median5+morphological+slic,1,2,5,200.0,0.1,0.03666622422969091
median5+morphological+slic,1,4,5,200.0,0.1,0.03666622422969091
morphological+slic,2,2,0,200.0,0.1,0.03666622422969091
morphological+slic,2,4,0,200.0,0.1,0.03666622422969091
morphological+slic,2,8,0,200.0,0.1,0.03666622422969091
median3+morphological+slic,2,8,3,200.0,0.1,0.03666622422969091
median5+morphological+slic,1,6,5,200.0,0.1,0.03666622422969091
median3+morphological+slic,2,2,3,200.0,0.1,0.03666622422969091
morphological+slic,2,6,0,200.0,0.1,0.03666622422969091
median3+morphological+slic,2,4,3,200.0,0.1,0.03666622422969091
median3+morphological+slic,2,2,3,300.0,0.05,0.03470445450370662
median3+morphological+slic,2,4,3,300.0,0.05,0.03470445450370662
morphological+slic,2,4,0,300.0,0.05,0.03470445450370662
morphological+slic,2,2,0,300.0,0.05,0.03470445450370662
morphological+slic,2,6,0,300.0,0.05,0.03470445450370662
morphological+slic,2,8,0,300.0,0.05,0.03470445450370662
median3+morphological+slic,2,8,3,300.0,0.05,0.03470445450370662
median3+morphological+slic,2,6,3,300.0,0.05,0.03470445450370662
median5+morphological+slic,2,8,5,200.0,0.05,0.034691993140746606
median7+morphological+slic,2,6,7,200.0,0.05,0.034691993140746606
median5+morphological+slic,1,2,5,200.0,0.05,0.034691993140746606
median5+morphological+slic,2,8,5,200.0,0.1,0.034691993140746606
median7+morphological+slic,1,2,7,200.0,0.1,0.034691993140746606
median5+morphological+slic,1,6,5,200.0,0.05,0.034691993140746606
median7+morphological+slic,1,2,7,200.0,0.05,0.034691993140746606
median5+morphological+slic,1,4,5,200.0,0.05,0.034691993140746606
median7+morphological+slic,1,6,7,200.0,0.05,0.034691993140746606
median7+morphological+slic,1,4,7,200.0,0.05,0.034691993140746606
median7+morphological+slic,1,4,7,200.0,0.1,0.034691993140746606
median7+morphological+slic,1,6,7,200.0,0.1,0.034691993140746606
morphological+slic,2,2,0,200.0,0.05,0.034691993140746606
