method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
median7+morphological+slic,1,2,7,400.0,0.05,0.23158171883990245
median5+morphological+slic,2,8,5,400.0,0.05,0.23158171883990245
median3+morphological+slic,2,8,3,400.0,0.05,0.23158171883990245
median7+morphological+slic,1,6,7,400.0,0.05,0.23158171883990245
median7+morphological+slic,1,4,7,400.0,0.05,0.23158171883990245
median7+morphological+slic,2,8,7,400.0,0.05,0.23158171883990245
median3+morphological+slic,2,2,3,400.0,0.05,0.23158171883990245
median7+morphological+slic,1,8,7,400.0,0.05,0.23158171883990245
median7+morphological+slic,2,6,7,400.0,0.05,0.23158171883990245
median5+morphological+slic,1,6,5,400.0,0.05,0.23061131687014047
morphological+slic,1,8,0,400.0,0.05,0.23061131687014047
morphological+slic,1,6,0,400.0,0.05,0.23061131687014047
median5+morphological+slic,1,2,5,400.0,0.05,0.23061131687014047
morphological+slic,1,4,0,400.0,0.05,0.23061131687014047
median5+morphological+slic,1,4,5,400.0,0.05,0.23061131687014047
median3+morphological+slic,1,4,3,400.0,0.05,0.23061131687014047
median3+morphological+slic,1,8,3,400.0,0.05,0.23061131687014047
morphological+slic,1,2,0,400.0,0.05,0.23061131687014047
median5+morphological+slic,1,8,5,400.0,0.05,0.23061131687014047
median3+morphological+slic,1,6,3,400.0,0.05,0.23061131687014047
median3+morphological+slic,1,2,3,400.0,0.05,0.23061131687014047
median3+morphological+slic,1,2,3,400.0,0.1,0.22504244710959334
median3+morphological+slic,1,4,3,400.0,0.1,0.22504244710959334
median3+morphological+slic,1,6,3,400.0,0.1,0.22504244710959334
median3+morphological+slic,1,8,3,400.0,0.1,0.22504244710959334
morphological+slic,1,6,0,300.0,0.1,0.19888502454910215
median3+morphological+slic,1,8,3,300.0,0.1,0.19888502454910215
morphological+slic,1,8,0,300.0,0.1,0.19888502454910215
median3+morphological+slic,1,6,3,300.0,0.1,0.19888502454910215
median3+morphological+slic,1,2,3,300.0,0.1,0.19888502454910215
morphological+slic,1,2,0,300.0,0.1,0.19888502454910215
morphological+slic,1,4,0,300.0,0.1,0.19888502454910215
median3+morphological+slic,1,4,3,300.0,0.1,0.19888502454910215
median3+morphological+slic,1,8,3,300.0,0.05,0.18246807504725168
median3+morphological+slic,1,4,3,300.0,0.05,0.18246807504725168
median3+morphological+slic,1,2,3,300.0,0.05,0.18246807504725168
median3+morphological+slic,1,6,3,300.0,0.05,0.18246807504725168
median7+morphological+slic,1,2,7,300.0,0.1,0.17706488737202405
median7+morphological+slic,1,4,7,300.0,0.1,0.17706488737202405
median7+morphological+slic,1,6,7,300.0,0.1,0.17706488737202405
median7+morphological+slic,1,8,7,300.0,0.1,0.17706488737202405
median5+morphological+slic,1,6,5,300.0,0.1,0.17704048205705503
median5+morphological+slic,1,8,5,300.0,0.1,0.17704048205705503
median5+morphological+slic,1,2,5,300.0,0.1,0.17704048205705503
median5+morphological+slic,1,4,5,300.0,0.1,0.17704048205705503
median7+morphological+slic,2,4,7,300.0,0.1,0.14089503171576354
median7+morphological+slic,2,2,7,300.0,0.1,0.14089503171576354
median7+morphological+slic,2,8,7,300.0,0.1,0.14089503171576354
median7+morphological+slic,2,6,7,300.0,0.1,0.14089503171576354
morphological+slic,2,6,0,300.0,0.1,0.14087062640079454
median5+morphological+slic,2,6,5,300.0,0.1,0.14087062640079454
median3+morphological+slic,2,6,3,300.0,0.1,0.14087062640079454
median5+morphological+slic,2,8,5,300.0,0.1,0.14087062640079454
median3+morphological+slic,2,8,3,300.0,0.1,0.14087062640079454
morphological+slic,2,2,0,300.0,0.1,0.14087062640079454
median3+morphological+slic,2,2,3,300.0,0.1,0.14087062640079454
morphological+slic,2,8,0,300.0,0.1,0.14087062640079454
median5+morphological+slic,2,4,5,300.0,0.1,0.14087062640079454
morphological+slic,2,4,0,300.0,0.1,0.14087062640079454
median5+morphological+slic,2,2,5,300.0,0.1,0.14087062640079454
median3+morphological+slic,2,4,3,300.0,0.1,0.14087062640079454
morphological+slic,1,6,0,300.0,0.05,0.140002003432692
morphological+slic,1,4,0,300.0,0.05,0.140002003432692
morphological+slic,1,8,0,300.0,0.05,0.140002003432692
morphological+slic,1,2,0,300.0,0.05,0.140002003432692
median7+morphological+slic,3,8,7,400.0,0.1,0.126072182567644
morphological+slic,3,8,0,400.0,0.1,0.126072182567644
median3+morphological+slic,3,8,3,400.0,0.1,0.126072182567644
median5+morphological+slic,3,8,5,400.0,0.1,0.126072182567644
median3+morphological+slic,3,6,3,400.0,0.1,0.126072182567644
median7+morphological+slic,3,2,7,400.0,0.1,0.126072182567644
median3+morphological+slic,3,2,3,400.0,0.1,0.126072182567644
median3+morphological+slic,3,4,3,400.0,0.1,0.126072182567644
morphological+slic,3,4,0,400.0,0.1,0.126072182567644
median5+morphological+slic,3,2,5,400.0,0.1,0.126072182567644
median5+morphological+slic,3,4,5,400.0,0.1,0.126072182567644
median7+morphological+slic,3,4,7,400.0,0.1,0.126072182567644
median7+morphological+slic,3,6,7,400.0,0.1,0.126072182567644
morphological+slic,3,6,0,400.0,0.1,0.126072182567644
morphological+slic,3,2,0,400.0,0.1,0.126072182567644
median5+morphological+slic,3,6,5,400.0,0.1,0.126072182567644
median3+morphological+slic,4,8,3,400.0,0.1,0.1247989789443567
median3+morphological+slic,4,4,3,400.0,0.1,0.1247989789443567
median3+morphological+slic,4,6,3,400.0,0.1,0.1247989789443567
median3+morphological+slic,4,2,3,400.0,0.1,0.1247989789443567
median7+morphological+slic,3,8,7,400.0,0.05,0.12251441538178999
median3+morphological+slic,4,2,3,400.0,0.05,0.12251441538178999
median3+morphological+slic,4,4,3,400.0,0.05,0.12251441538178999
median3+morphological+slic,4,6,3,400.0,0.05,0.12251441538178999
median7+morphological+slic,3,6,7,400.0,0.05,0.12251441538178999
morphological+slic,3,2,0,400.0,0.05,0.12251441538178999
median5+morphological+slic,3,2,5,400.0,0.05,0.12251441538178999
median3+morphological+slic,3,4,3,400.0,0.05,0.12251441538178999
morphological+slic,3,4,0,400.0,0.05,0.12251441538178999
median3+morphological+slic,3,2,3,400.0,0.05,0.12251441538178999
median3+morphological+slic,4,8,3,400.0,0.05,0.12251441538178999
median7+morphological+slic,3,2,7,400.0,0.05,0.12251441538178999
median3+morphological+slic,3,6,3,400.0,0.05,0.12251441538178999
morphological+slic,3,6,0,400.0,0.05,0.12251441538178999
median5+morphological+slic,3,4,5,400.0,0.05,0.12251441538178999
median7+morphological+slic,3,4,7,400.0,0.05,0.12251441538178999
median5+morphological+slic,3,6,5,400.0,0.05,0.12251441538178999
median3+morphological+slic,3,8,3,400.0,0.05,0.12251441538178999
morphological+slic,3,8,0,400.0,0.05,0.12251441538178999
median5+morphological+slic,3,8,5,400.0,0.05,0.12251441538178999
morphological+slic,3,6,0,300.0,0.1,0.10707323613205966
morphological+slic,3,2,0,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,6,7,300.0,0.1,0.10707323613205966
morphological+slic,3,8,0,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,2,7,300.0,0.1,0.10707323613205966
morphological+slic,3,4,0,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,4,7,300.0,0.1,0.10707323613205966
median7+morphological+slic,3,8,7,300.0,0.1,0.10707323613205966
median3+morphological+slic,3,4,3,300.0,0.1,0.10619057721205692
median3+morphological+slic,3,2,3,300.0,0.1,0.10619057721205692
median5+morphological+slic,3,2,5,300.0,0.1,0.10619057721205692
median3+morphological+slic,3,6,3,300.0,0.1,0.10619057721205692
median3+morphological+slic,3,8,3,300.0,0.1,0.10619057721205692
median5+morphological+slic,3,8,5,300.0,0.1,0.10619057721205692
median5+morphological+slic,3,4,5,300.0,0.1,0.10619057721205692
median5+morphological+slic,3,6,5,300.0,0.1,0.10619057721205692
median5+morphological+slic,1,2,5,300.0,0.05,0.10129660999546271
median5+morphological+slic,1,8,5,300.0,0.05,0.10129660999546271
median5+morphological+slic,1,4,5,300.0,0.05,0.10129660999546271
median5+morphological+slic,1,6,5,300.0,0.05,0.10129660999546271
median5+morphological+slic,4,6,5,400.0,0.1,0.09204501988680551
median7+morphological+slic,4,2,7,400.0,0.1,0.09204501988680551
median5+morphological+slic,4,8,5,400.0,0.1,0.09204501988680551
median7+morphological+slic,4,6,7,400.0,0.1,0.09204501988680551
median5+morphological+slic,4,2,5,400.0,0.1,0.09204501988680551
median7+morphological+slic,4,8,7,400.0,0.1,0.09204501988680551
median5+morphological+slic,4,4,5,400.0,0.1,0.09204501988680551
median7+morphological+slic,4,4,7,400.0,0.1,0.09204501988680551
median7+morphological+slic,4,4,7,400.0,0.05,0.09198411235148696
median5+morphological+slic,4,6,5,400.0,0.05,0.09198411235148696
median5+morphological+slic,4,2,5,400.0,0.05,0.09198411235148696
median7+morphological+slic,4,2,7,400.0,0.05,0.09198411235148696
median7+morphological+slic,4,6,7,400.0,0.05,0.09198411235148696
median7+morphological+slic,4,8,7,400.0,0.05,0.09198411235148696
median5+morphological+slic,4,8,5,400.0,0.05,0.09198411235148696
median5+morphological+slic,4,4,5,400.0,0.05,0.09198411235148696
median5+morphological+slic,4,4,5,300.0,0.1,0.05503703703703703
morphological+slic,4,6,0,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,6,5,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,6,3,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,4,7,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,8,3,300.0,0.1,0.05503703703703703
morphological+slic,4,8,0,300.0,0.1,0.05503703703703703
morphological+slic,4,4,0,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,8,5,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,8,7,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,2,3,300.0,0.1,0.05503703703703703
morphological+slic,4,2,0,300.0,0.1,0.05503703703703703
median5+morphological+slic,4,2,5,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,2,7,300.0,0.1,0.05503703703703703
median3+morphological+slic,4,4,3,300.0,0.1,0.05503703703703703
median7+morphological+slic,4,6,7,300.0,0.1,0.05503703703703703
morphological+slic,1,6,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,4,3,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,6,3,200.0,0.1,0.042479657732955374
morphological+slic,1,2,0,200.0,0.1,0.042479657732955374
morphological+slic,1,4,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,8,3,200.0,0.1,0.042479657732955374
morphological+slic,1,8,0,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,2,3,200.0,0.1,0.042479657732955374
median3+morphological+slic,1,2,3,200.0,0.05,0.04059328069439467
morphological+slic,1,4,0,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,8,3,200.0,0.05,0.04059328069439467
morphological+slic,1,8,0,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,4,3,200.0,0.05,0.04059328069439467
morphological+slic,1,2,0,200.0,0.05,0.04059328069439467
morphological+slic,1,6,0,200.0,0.05,0.04059328069439467
median3+morphological+slic,1,6,3,200.0,0.05,0.04059328069439467
median7+morphological+slic,2,8,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,6,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,2,7,300.0,0.05,0.037849108591756934
median7+morphological+slic,1,8,7,300.0,0.05,0.037849108591756934
median3+morphological+slic,2,8,3,300.0,0.05,0.037849108591756934
